recordID,Topic,Topic_ID,Course_List_R3,Course_ID_R3,Scheduling_R3,Grade_Filter,Grade_Text,Program_Description_R3,Combining&PlacementTips_R3,Subject,Resource_Assignments
recyvGDzKrs3NQ2Gh,Grammar: Grade 5,006.001.005.002,Language Study: Grade 5,006.001.005,2 times/week 15 min * ⬔,"G5,",GRADE(S): 5,"Students review the parts of speech and learn the components involved in writing a good sentence.
","Students can take this course even if they haven't taken grammar before. The beginning is written with a built-in review.
",English,001.001.000*Sentence Island->Grammar: Grade 5|001.001.000*Practice Island->Grammar: Grade 5|001.001.000*Practice Island Teacher Manual (select pages)->Grammar: Grade 5
recLPdAR3HvUPBLVg,Dictation: Grade 5,006.001.005.003,Language Study: Grade 5,006.001.005,3 times/week 15 min * ⬔,"G5,",GRADE(S): 5,"Students use selected passages to practice dictation skills. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 5 Copywork & Dictation Book->Dictation: Grade 5
recwpdmb8sKS3PT3A,Penmanship & Copywork: Grade 5,006.001.005.004,Language Study: Grade 5,006.001.005,5 times/week 10 min * ☐,"G5,",GRADE(S): 5,"Students copy short passages from their books. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.001.000*Italics: Beautiful Handwriting for Children->Penmanship & Copywork: Grade 5|001.001.000*Getty-Dubay® Italic Handwriting Book F->Penmanship & Copywork: Grade 5|001.003.000*Grade 5 Copywork & Dictation Book->Penmanship & Copywork: Grade 5
recby0Y8cxPOcXEJ5,Written Narration: Grade 5,006.001.005.005,Language Study: Grade 5,006.001.005,3 times/week 10 min * ⬔,"G5,",GRADE(S): 5,"Students continue to gain fluency in writing through written narrations.
","Increase the number of written narrations at a pace that your student can be successful.
",English,
rec9bl06BiEUDmZFr,Grammar: Grade 6,006.001.006.002,Language Study: Grade 6,006.001.006,2 times/week 15 min * ⬔,"G6,",GRADE(S): 6,"Students deepen their understanding of the parts of speech.
","If your student did not do Sentence Island the previous year, you should incorporate that book with the 6th-grade grammar book.
",English,001.001.000*Grammar Town->Grammar: Grade 6|001.001.000*Grammar Town Teacher's Manual (select pages)->Grammar: Grade 6|003.001.000*Practice Town->Grammar: Grade 6|003.001.000*Practice Town Teacher's Manual (select pages)->Grammar: Grade 6
rec1RjXdHiGBUlKd2,Dictation: Grade 6,006.001.006.003,Language Study: Grade 6,006.001.006,3 times/week 15 min * ⬔,"G6,",GRADE(S): 6,"Students use selected passages to practice dictation skills. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 6 Copywork & Dictation Book->Dictation: Grade 6
rec42Ixi12Wm4FHAN,Penmanship & Copywork: Grade 6,006.001.006.004,Language Study: Grade 6,006.001.006,5 times/week 10 min * ☐,"G6,",GRADE(S): 6,"Students copy short passages from their books. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.001.000*Italics: Beautiful Handwriting for Children->Penmanship & Copywork: Grade 6|001.001.000*Getty-Dubay® Italic Handwriting Book G->Penmanship & Copywork: Grade 6|001.003.000*Grade 6 Copywork & Dictation Book->Penmanship & Copywork: Grade 6
reczxYCdvDjZbEuKS,Written Narration: Grade 6,006.001.006.005,Language Study: Grade 6,006.001.006,5 times/week 10 min * ☐,"G6,",GRADE(S): 6,"Students continue to gain fluency in writing through written narrations.
","Increase the number of written narrations at a pace that your student can be successful.
",English,
recKq3xS167wy1MJd,Written Narration: Grade 7,006.001.007.000,Language Study: Grade 7,006.001.007,8 times/week 15 min * ☐,"G7,",GRADE(S): 7,"Using prompts from their books, students write narrations and practice various forms of writing such as letters, descriptions, short accounts, and verse as they gain fluency with words.
",,English,
recC44bP2oeAkcAkU,Grammar/Comp: Grade 7,006.001.007.002,Language Study: Grade 7,006.001.007,"2 times/week 20 min * ⬔
2 times/week 15 min * ⬔","G7,",GRADE(S): 7,"Students review the parts of speech and learn how to write a good paragraph.
",,English,001.001.000*Paragraph Town->Grammar/Comp: Grade 7|001.001.000*Practice Town->Grammar/Comp: Grade 7|001.001.000*Practice Town Teacher's Manual (select pages)->Grammar/Comp: Grade 7
rec76wOGUwWCi0G01,Dictation: Grade 7,006.001.007.003,Language Study: Grade 7,006.001.007,2 times/week 15 min * ⬔,"G7,",GRADE(S): 7,"Students use selected passages to practice dictation skills. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 7 Copywork & Dictation Book->Dictation: Grade 7
recmmyaYj7XBNHmel,Copywork: Grade 7,006.001.007.005,Language Study: Grade 7,006.001.007,5 times/week 10 min *or_ ☐,"G7,",GRADE(S): 7,"Students copy passages from their books. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 7 Copywork & Dictation Book->Copywork: Grade 7
reccQ7zHRgX1vfMIm,Written Narration: Grade 8,006.001.008.000,Language Study: Grade 8,006.001.008,10 times/week 15 min * ☐,"G8,",GRADE(S): 8,,,English,
recUsu8pR1gAT6SmN,Grammar/Comp: Grade 8,006.001.008.002,Language Study: Grade 8,006.001.008,"2 times/week 20 min * ⬔
2 times/week 15 min * ☐","G8,",GRADE(S): 8,"Students deepen their understanding of the parts of speech.
","If your student did not do Paragraph Town last year, you should incorporate that book with the 8th-grade grammar book.
",English,001.001.000*Grammar Voyage->Grammar/Comp: Grade 8|001.001.000*Grammar Voyage Teacher's Manual (select pages)->Grammar/Comp: Grade 8|002.001.000*Practice Voyage->Grammar/Comp: Grade 8|002.001.000*Practice Voyage Teacher's Manual (select pages)->Grammar/Comp: Grade 8
recOlXtr0sY7g0n9A,Dictation: Grade 8,006.001.008.003,Language Study: Grade 8,006.001.008,2 times/week 15 min * ⬔,"G8,",GRADE(S): 8,"Students use selected passages to practice dictation skills. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 8 Copywork & Dictation Book->Dictation: Grade 8
recMuKJeBsa2PYeAA,Copywork: Grade 8,006.001.008.005,Language Study: Grade 8,006.001.008,5 times/week 10 min *or_ ☐,"G8,",GRADE(S): 8,"Students copy passages from their books. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 8 Copywork & Dictation Book->Copywork: Grade 8
recSrzME9wnhZuhfb,Grammar/ Comp: Grade 9,006.001.009.002,Language Study: Grade 9,006.001.009,"2 times/week 20 min * 
2 times/week 30 min * ","G9,",GRADE(S): 9,"This course works alongside Michael Clay Thompson's Essay Voyage lessons. It invites students to explore writing concepts such as tone, style, point of view, and more. Students also experiment with multiple written forms and gain familiarity with key habits of academic writing.
","New students entering Grade 9 without much former Grammar instruction should complete MCT's Grammar and Practice Voyage scheduled in Grade 8. Composition prompts often reference Alveary lessons in Literature, History, Geography, Bible, etc., so it is ideal if students are using Alveary subjects across the curriculum. However, lessons include the lesson topic and target skill/form, along with ideas for substitution when possible to make the lessons flexible for teachers and students.
",English,001.001.000*Essay Voyage->Grammar/ Comp: Grade 9|001.001.000*Essay Voyage Teacher's Manual (select pages)->Grammar/ Comp: Grade 9
rec3wjqqrVBFzE4u0,Dictation: Grade 9,006.001.009.003,Language Study: Grade 9,006.001.009,1 time/week 20 min * ,"G9,",GRADE(S): 9,"Students use passages from their books to practice dictation skills.
","Depending on the student, dictation may or may not be necessary at this level.
",English,
rectwpoRE9jHvBaSo,Commonplace: Grades 9-12,006.001.009.005,"Language Study: Grade 9, Language Study: Grade 10, Language Study: Grade 11, Language Study: Grade 12","006.001.009, 006.001.010, 006.001.011, 006.001.012",1 time/week 10 min _ ,"G9, G10, G11, G12,",GRADE(S): 9-12,"Building on the habit of copywork in younger grades, high school students copy passages of any length that strike them from their readings into their commonplace book. For some students this becomes a lifelong keepsake and continuing habit.
","Students new to copywork or keeping a commonplace book may want to schedule this during morning lessons to build the habit.
",English,
recKpemaueL8hPyNj,Grammar: Grade 10,006.001.010.002,Language Study: Grade 10,006.001.010,1 time/week 40 min * ,"G10,",GRADE(S): 10,"This course, based on Michael Clay Thompson's Caesar's English II, takes students through a delightful study of words that includes a mix of Latin stems, classic words, grammar, history, and writing.
",,English,001.001.000*Caesar's English II->Grammar: Grade 10|001.001.000*Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right->Grammar: Grade 10
recEP3zrR9MMA5GAp,Composition: Grade 10,006.001.010.004,Language Study: Grade 10,006.001.010,3 times/week 40 min * ,"G10,",GRADE(S): 10,"Students build experience with multiple forms of writing and writing concepts such as dialogue, scene writing, point of view, outlining, various types of analysis, and more while honing their revision and editing skills with Williams’ and Bizup’s classic text.
","Prerequisite: Students with no background in the essay form should begin with Essay Voyage from the Grade 9 lessons.

Composition prompts often reference Alveary lessons in Literature, History, Geography, Bible, etc., so it is ideal if students are using Alveary subjects across the curriculum. However, lessons include the lesson topic and target skill/form, along with ideas for substitution when possible to make the lessons flexible for teachers and students.
",English,001.001.000*Style: The Basics of Clarity & Grace 5th ed.->Composition: Grade 10
reczhSNGYcB2YzeYL,Composition: Grade 11,006.001.011.004,Language Study: Grade 11,006.001.011,4 times/week 40 min * ,"G11,",GRADE(S): 11,"Students continue to practice writing poetry and prose of various kinds while working on a few longer projects each term. Lessons topics include: logical fallacies,  research and citation habits, narrative techniques, the ethics of communication, and more.
","Prerequisite: Students with little background in the essay form should begin with Essay Voyage from the Grade 9 lessons. And students new to the concept of revision and editing should take the Grade 10 courses.

Composition prompts often reference Alveary lessons in Literature, History, Geography, Bible, etc., so it is ideal if students are using Alveary subjects across the curriculum. However, lessons include the lesson topic and target skill/form, along with ideas for substitution when possible to make the lessons flexible for teachers and students.
",English,"001.001.000*Advanced Academic Writing II Teacher Manual->Composition: Grade 11|001.001.000*Steering the Craft: A Twenty-First Century Guide to Sailing the Sea of Story->Composition: Grade 11|003.001.000*Communicating with Grace and Virtue: Learning to Listen, Speak, Text, and Interact as a Christian->Composition: Grade 11"
rechkj2wbdVhgZVbF,Composition: Grade 12,006.001.012.004,Language Study: Grade 12,006.001.012,4 times/week 40 min * ,"G12,",GRADE(S): 12,"Students continue to build experience with multiple forms of writing and practice healthy writing habits. This course especially focuses on the ethical dimension of words today, the role of technology, and the craft of research and academic writing, so students learn to show the significance of their ideas within a scholarly conversation.
","Prerequisite: Students with little background in the essay form should begin with Essay Voyage from the Grade 9 lessons. 

Students new to the concept of revision and editing should take the Grade 10 lessons through Style: The Basics of Clarity and Grace, and may want to substitute the other revision/editing lessons in Grade 10 to build their skills.
",English,001.001.000*Caring for Words in a Culture of Lies (2nd ed.)->Composition: Grade 12|001.001.000*Advanced Academic Writing II Teacher Manual->Composition: Grade 12|001.001.000*The Craft of Research->Composition: Grade 12
recbib99MSqhVumm9,Canadian History: Grades 2-4,008.002.002.001,"History: Grades 2-3 (Canada), History: Grade 4 (Canada)","008.002.002, 008.004.002",1 time/week 20 min * 🅃,"G2, G3, G4,",GRADE(S): 2-4,"Read Canadian history stories from the current history cycle (1800-1900). View images and reference atlases and maps to set the people and events in their time and place. Update History Charts as appropriate for student level.
","Students in grades 2-4 will take the same course.
",History,"001.002.000*The Kids Book of Canadian History->Canadian History: Grades 2-4|001.003.000*The Spirit of Canada: Canada's Story in Legends, Fiction, Poems, and Songs->Canadian History: Grades 2-4|002.001.000*Famous Canadian Stories->Canadian History: Grades 2-4|002.003.000*Born !: A Foal, Five Kittens and Confederation->Canadian History: Grades 2-4|003.003.000*Gold Rush->Canadian History: Grades 2-4"
recZ0DXfFP97QArDQ,U.S. History: Grades 4-6,008.004.001.001,"History: Grade 4 (U.S.), History: Grades 5-6 (U.S.)","008.004.001, 008.005.001",1 time/week 25 min * ⬔,"G4, G5, G6,",GRADE(S): 4-6,"Read United States and world history stories from the current history cycle (1800-1900). View images and reference atlases and maps to set the people and events in their time and place. Update History Charts as appropriate for student level.
","This course is the same for 4th-6th graders. In grade 5, students may begin their Book of Centuries.
",History,001.003.000*America Grows Up->U.S. History: Grades 4-6|001.003.000*Heart and Soul: The Story of America and African Americans->U.S. History: Grades 4-6|001.003.000*Children of the Wild West->U.S. History: Grades 4-6|002.003.000*Pink and Say->U.S. History: Grades 4-6|003.003.000*Coolies->U.S. History: Grades 4-6
recNJHxMpmevpJkq6,World History: Grades 4-6,008.004.001.003,"History: Grade 4 (U.S.), History: Grade 4 (Canada), History: Grades 5-6 (U.S.), History: Grades 5-6 (Canada)","008.004.001, 008.004.002, 008.005.001, 008.005.002",1 time/week 25 min * ⬔,"G4, G4, G5, G6, G5, G6,",GRADE(S): 4-6,"Through the reading of history stories and biographies, students experience what life was like in different times and places. They are exposed to the everyday experiences as well as the major events from our current history cycle (1800-1900). Students will also view images, reference maps, and work on their century charts and Book of Centuries as part of their lessons.
","This course is the same for 4th-6th graders. In grade 5, students may begin their Book of Centuries.
",History,003.003.000*Stories of the Nations Vol.2->World History: Grades 4-6
recBP0ILhMKRSKye3,Ancient History: Grades 5-6,008.005.001.004,"History: Grades 5-6 (U.S.), History: Grades 5-6 (Canada)","008.005.001, 008.005.002",1 time/week 25 min * 🅃,"G5, G6, G5, G6,",GRADE(S): 5-6,"Study history stories about the ancient civilizations that lived from 100 BC to 350 AD. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries as appropriate for student level.
",,History,001.003.000*The Aeneid for Boys and Girls->Ancient History: Grades 5-6
recVun2b5K8g6M1I9,Canadian History: Grades 5-6,008.005.002.001,History: Grades 5-6 (Canada),008.005.002,1 time/week 25 min * ⬔,"G5, G6,",GRADE(S): 5-6,"Read about Canadian history from 1800-1900 through a variety of texts: engaging narratives, history spines, primary source documents, and historical fiction. These books, which offer a range of perspectives, will immerse students in the time period and allow them to see the world through the eyes of those who lived it. Students will view images, reference atlases, and maps to set the people and events in their time and place. Update History Charts and Book of Centuries as appropriate for student level.
","This course is the same for students in grades 5 and 6. In grade 5, students may begin their Book of Centuries. It could be easily modified for students in grade 4, if combining.
",History,002.001.000*The Story of Canada->Canadian History: Grades 5-6
recjxhOtJDBXK35Pc,U.S. History: Grades 7-8,008.007.001.001,History: Grades 7-8 (U.S.),008.007.001,2 times/week 30 min * ☐,"G7, G8,",GRADE(S): 7-8,"Read about U.S. history from 1800-1900 through books that immerse students in the time period and allow them to see the world through the eyes of those who lived it. Through engaging narratives, history spines, primary source documents, and books that show different perspectives, students come to see history as more than dates and events and develop relationships with people from the past. Viewing images, looking at maps, and working on one's Book of Centuries are also part of developing this relationship.
","U.S. history may be suitable for 9th graders as well if combining.
",History,000.003.000*Passenger on the Pearl->U.S. History: Grades 7-8|001.003.000*America Grows Up->U.S. History: Grades 7-8|001.003.000*Heart and Soul: The Story of America and African Americans->U.S. History: Grades 7-8|001.003.000*Lincoln: A Photobiography->U.S. History: Grades 7-8|001.003.000*Diary of an Early American Boy 1805->U.S. History: Grades 7-8|001.003.000*A History of US: Liberty for All?: 1820-1860->U.S. History: Grades 7-8|002.003.000*Up from Slavery->U.S. History: Grades 7-8|003.003.000*Abraham Lincoln and Frederick Douglass: The Story Behind and American Friendship->U.S. History: Grades 7-8
recfXdRHtTUmQQfre,World History: Grades 7-8,008.007.001.003,"History: Grades 7-8 (U.S.), History: Grades 7-8 (Canada)","008.007.001, 008.007.002",1 time/week 30 min * ☐,"G7, G8, G7, G8,",GRADE(S): 7-8,"One of the most powerful truths that history can teach us is that the past was different from the present. The way things are now is not the way they have always been, which should make us aware of the likelihood that the way things are now is not how they will be. The study of world history exposes students to what life was like in different places and at different times. As students read about people and events from 1800-1900 through history spines, historical novels, and primary source documents, they will get a better picture of the way people viewed the world, the challenges they faced, and the legacy they left behind. Students will also view images, reference maps, and work on their Book of Centuries as part of their lessons.
","Suitable for Grade 9. However, Grade 9 does include a term of lessons on historical thinking skills, which should not be skipped. So if combining 9th graders in this course, be sure to have them read that book next year.
",History,
reccWaJufKNkFDBA7,Ancient History: Grades 7-9,008.007.001.006,"History: Grades 7-8 (U.S.), History: Grades 7-8 (Canada), History: Grade 9 (U.S.), History: Grade 9 (Canada)","008.007.001, 008.007.002, 008.009.001, 008.009.002",1 time/week 30 min * 🅃,"G7, G8, G7, G8, G9, G9,",GRADE(S): 7-9,"Read about ancient history from 100 BC-350 AD through biographies, primary source documents, historical fiction, and history spines. Students will view images, reference maps, and update their Book of Centuries as part of the lessons.
",,History,001.003.000*A Short History of Ancient Rome->Ancient History: Grades 7-9|003.003.000*The Witness of Early Christian Women: Mothers of the Church->Ancient History: Grades 7-9
rectYyDExoONIDZ4N,Canadian History: Grades 7-8,008.007.002.002,History: Grades 7-8 (Canada),008.007.002,2 times/week 30 min * 🅃,"G7, G8,",GRADE(S): 7-8,"Read about Canadian history from 1800-1900 through books that immerse students in the time period and allow them to see the world through the eyes of those who lived it. Through engaging narratives, biographies, history spines, primary source documents, oral histories, historical fiction, and books that show different perspectives, students come to see history as more than dates and events and develop relationships with people from the past. Viewing images, looking at maps, and working on one's Book of Centuries are also part of developing this relationship.
","Canadian history may be suitable for grade 9 students if combining.
",History,003.001.000*The Story of Canada->Canadian History: Grades 7-8
reccptIZEfyPj6VOX,U.S. History: Grade 9,008.009.001.001,History: Grade 9 (U.S.),008.009.001,"1 time/week 40 min * 
1 time/week 30 min * ","G9,",GRADE(S): 9,"Read about U.S. history from 1800 to 1900 through primary source documents, creative nonfiction, and history spines. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries.
","History in Grade 9 shares books with both Grades 7-8 and Grade 10.
",History,"001.003.000*A Short History of the United States->U.S. History: Grade 9|001.003.000*Sacajawea->U.S. History: Grade 9|001.003.000*The American Patriot's Handbook->U.S. History: Grade 9|001.003.000*Posterity: Letters of Great Americans to Their Children->U.S. History: Grade 9|001.003.000*The American Spirit (Audio)->U.S. History: Grade 9|001.003.000*American History, Volume 1: 1492-1877->U.S. History: Grade 9|001.003.000*The Narrative of Lunsford Lane, Formerly of Raleigh, N. C.->U.S. History: Grade 9|002.003.000*Barracoon->U.S. History: Grade 9|002.003.000*Civil War Hospital Sketches->U.S. History: Grade 9|003.003.000*The Chicago World's Fair->U.S. History: Grade 9|003.003.000*Robber Barons->U.S. History: Grade 9|003.003.000*American History, Volume 2: 1877 - Present->U.S. History: Grade 9"
receGemutNrOAFIFJ,World History: Grade 9,008.009.001.003,"History: Grade 9 (U.S.), History: Grade 9 (Canada)","008.009.001, 008.009.002",1 time/week 30 min * ,"G9, G9,",GRADE(S): 9,"Reading about the lives of people and events from the time period in many different parts of the world gives students a sense of the growing interconnectedness of the world at this time. A Little Book for New Historians in the third term casts a vision for what it means to think Christianly and historically as a student of history. It raises important questions of complexity, nuance, perspective, empathy, and humility as students enter the HS years.
","All the books are appropriate for any HS student. If a HS student is new to the Alveary, especially consider assigning the third term book, A Little Book for New Historians, no matter their grade.
",History,
rec94JklXBmpXn1Ky,Canadian History: Grades 9-10,008.009.002.001,"History: Grade 9 (Canada), History: Grade 10 (Canada)","008.009.002, 008.010.002","1 time/week 40 min * 
1 time/week 30 min * ","G9, G10,",GRADE(S): 9-10,"Read about Canadian history from 1800-1900 through books that immerse students in the time period and allow them to see the world through the eyes of those who lived it. Through engaging narratives, biographies, history spines, primary source documents, oral histories, historical fiction, and books that show different perspectives, students come to see history as more than dates and events and develop relationships with people from the past. Viewing images, looking at maps, and working on one's Book of Centuries are also part of developing this relationship.
",,History,
recZwW63MrJRv4YVe,Ancient History: Grades 10-12,008.010.000.003,"History: Grades 10-12 (U.S.), History: Grade 10 (Canada), History: Grades 11-12 (Canada)","008.010.000, 008.010.002, 008.011.002","1 time/week 30 min * 
1 time/week 40 min * ","G10, G11, G12, G10, G11, G12,",GRADE(S): 10-12,"Drawing on material culture, primary sources, and wider overviews, this course delves into the time period from 100 BC to 350 AD.
","Inquisitive 9th graders could enjoy this course, but the main texts have an advanced reading level, so students would likely want to move at a slower pace.
",History,001.003.000*The Colosseum->Ancient History: Grades 10-12|001.003.000*Ancient Empires: From Mesopotamia to the Rise of Islam->Ancient History: Grades 10-12|002.003.000*Early Christian Writings: The Apostolic Fathers edited->Ancient History: Grades 10-12
recoVdl41vSm6Feqc,U.S. History: Grades 10-12,008.010.001.001,History: Grades 10-12 (U.S.),008.010.000,"1 time/week 40 min * 
1 time/week 30 min * ","G10, G11, G12, G10, G11, G12,",GRADE(S): 10-12,"Read about U.S. history from 1800-1900 through biographies, primary source documents, creative nonfiction, and history spines. View images and reference atlases and maps to put the people and events in their time and place. Update History Charts and Book of Centuries.
",,History,"001.003.000*A Short History of the United States->U.S. History: Grades 10-12|001.003.000*The Adventures of the Mountain Men: True Tales of Hunting, Trapping, Fighting, Adventure, and Survival->U.S. History: Grades 10-12|001.003.000*Pushing the Bear: A Novel of the Trail of Tears->U.S. History: Grades 10-12|001.003.000*Dreams of El Dorado: A History of the American West->U.S. History: Grades 10-12|001.003.000*The Greater Journey: Americans in Paris->U.S. History: Grades 10-12|001.003.000*The American Patriot's Handbook->U.S. History: Grades 10-12|001.003.000*Posterity: Letters of Great Americans to Their Children->U.S. History: Grades 10-12|001.003.000*The American Spirit (Audio)->U.S. History: Grades 10-12|001.003.000*American History, Volume 1: 1492-1877->U.S. History: Grades 10-12|001.003.000*The Narrative of Lunsford Lane, Formerly of Raleigh, N. C.->U.S. History: Grades 10-12|001.003.000*Reading American Horizons->U.S. History: Grades 10-12|002.003.000*The President and the Freedom Fighter: Abraham Lincoln, Frederick Douglass, and Their Battle to Save America's Soul->U.S. History: Grades 10-12|002.003.000*Civil War Hospital Sketches->U.S. History: Grades 10-12|002.003.000*They Fought Like Demons: Women Soldiers in the Civil War->U.S. History: Grades 10-12|003.003.000*I Am a Man: Chief Standing Bear's Journey for Justice->U.S. History: Grades 10-12|003.003.000*Tomboy Bride->U.S. History: Grades 10-12|003.003.000*American History, Volume 2: 1877 - Present->U.S. History: Grades 10-12"
recDY9EzpeC95AAcw,World History: Grades 10-12,008.010.002.002,"History: Grades 10-12 (U.S.), History: Grade 10 (Canada), History: Grades 11-12 (Canada)","008.010.000, 008.010.002, 008.011.002",1 time/week 30 min * ,"G10, G11, G12, G10, G11, G12,",GRADE(S): 10-12,"Read about world history from 1800-1900. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries.
",,History,
recv1Ssp8koxS4ejL,Canadian History: Grades 11-12,008.011.002.001,History: Grades 11-12 (Canada),008.011.002,"1 time/week 40 min * 
1 time/week 30 min * ","G11, G12,",GRADE(S): 11-12,"Read about Canadian history from 1800-1900 through biographies, primary source documents, history spines, and historical fiction. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries.
","This course is the same for Grade 11 and Grade 12.
",History,
recPJwhSDEWWZXwi6,Fairy Tales,011.001.001.001,Literature: Grade 1,011.001.001,1 time/week 15 min * 🅃,"G1,",GRADE(S): 1,"As students begin their adventures with books, we stir their imaginations with fairy tales from around the world.
","Suitable for hungry kindergarteners as well.
",Literature,001.001.000*Tales from Grimm->Fairy Tales|001.001.000*Around the World in 80 Tales->Fairy Tales
rechdAl8LV3A6ohAz,Tall Tales/ Fables,011.001.001.002,Literature: Grade 1,011.001.001,1 time/week 15 min * 🅃,"G1,",GRADE(S): 1,"Along with fairy tales from around the world, this course introduces students to Aesop's famous fables and classic American or Canadian tall tales.
","Easily combined with hungry Kindergarteners or Grade 2 students.
",Literature,"000.003.000*The Fabled Life of Aesop->Tall Tales/ Fables|001.001.000*Aesop's Favorite Fables->Tall Tales/ Fables|001.002.000*The Spirit of Canada: Canada's Story in Legends, Fiction, Poems, and Songs->Tall Tales/ Fables|001.001.001*American Tall Tales->Tall Tales/ Fables"
recV3I4tm3VgoAEO0,Community Read Alouds: Grades 1-12,011.001.001.011,"Citizenship: Grade 4, Citizenship: Grade 5, Citizenship: Grade 6, Citizenship: Grade 7 (U.S.), Citizenship: Grade 7 (Canada), Citizenship: Grade 8 (U.S.), Citizenship: Grade 8 (Canada), Citizenship: Grade 9, Citizenship: Grade 10, Citizenship: Grade 11, Citizenship: Grade 12, Literature: Grade 1, Literature: Grade 2, Literature: Grade 3","005.004.001, 005.005.001, 005.006.001, 005.007.001, 005.007.002, 005.008.001, 005.008.002, 005.009.000, 005.010.001, 005.011.001, 005.012.001, 011.001.001, 011.001.002, 011.001.003",1 time/week 20 min+ _ 🅃,"G1, G2, G3, G4, G6, G7, G7, G8, G8, G9, G10, G11, G12, G5,",GRADE(S): 1-5,"This is meant to be a read-aloud for all ages to enjoy together in the afternoon at least 1 time a week. We encourage you to choose a book that is specific to your region. However, we will offer some suggestions in the Grades 1-3 Literature lessons and Grades 4+ Citizenship lessons.
","
",Literature,
rec0zdroSI7QgJY6v,Mythology: Grade 2,011.001.002.003,Literature: Grade 2,011.001.002,1 time/week 15 min * 🅃,"G2,",GRADE(S): 2,"Introduce students to foundational Greek myths through Nathaniel Hawthorne's A Wonder Book for Boys and Girls.
","Students in Grades 1-3 can share these lessons if combining.
",Literature,001.001.000*A Wonder Book for Girls and Boys->Mythology: Grade 2
rec7jlz4INbdwK5bW,Classic Lit.: Grade 2,011.001.002.004,Literature: Grade 2,011.001.002,1 time/week 15 min * 🅃,"G2,",GRADE(S): 2,"This course introduces students to John Bunyan's classic work, Pilgrim's Progress, building their vocabulary and furnishing their imaginations along the way.
","Students in Grades 1-3 can share these lessons if combining.
",Literature,"001.001.000*Pilgrim's Progress: Updated, Modern English->Classic Lit.: Grade 2"
recDoQA8wNGbAHwcV,Lit./Mythology: Grade 3,011.001.003.003,Literature: Grade 3,011.001.003,1 time/week 15 min * 🅃,"G3,",GRADE(S): 3,"Continue to expose students to rich stories with either Pilgrim's Progress or classic Greek myths.
","Lit/Mythology selections are continued from Grade 2. Students can jump in at the current rotation or use Grade 2 lessons if you prefer to start from the beginning. Students in Grades 1-3 can be combined for these lessons.
",Literature,"001.001.000*A Wonder Book for Girls and Boys->Lit./Mythology: Grade 3|001.001.000*Pilgrim's Progress: Updated, Modern English->Lit./Mythology: Grade 3"
recSEbSNxFsgIUsga,General Lit.: Grade 3,011.001.003.005,Literature: Grade 3,011.001.003,1 time/week 15 min * ⬔,"G3,",GRADE(S): 3,"Accessible texts such as Charlotte's Web help students grow the delight of reading for themselves.
","Selections in General Literature are chosen to allow students to begin taking turns reading with their teacher and/or entirely by themselves (depending on reading level). If combining with younger students, make sure emerging readers still have space to practice reading somewhere in their lessons.
",Literature,001.001.000*Charlotte's Web->General Lit.: Grade 3
recyJEQ4vVSOi8L6a,Mythology/Hist. Fiction: Grade 4,011.001.004.003,Literature: Grade 4,011.001.004,1 time/week 20 min * ⬔,"G4,",GRADE(S): 4,"Students read Norse mythology for a term and then finish the year with historical fiction (choices set in the 19th century).
","Can easily be combined with students in Grades 3 or 5.
",Literature,"001.001.000*In the Days of Giants->Mythology/Hist. Fiction: Grade 4|001.003.000*Bold Journey: West with Lewis and Clark->Mythology/Hist. Fiction: Grade 4|002.003.000*Behind Rebel Lines: The Incredible Story of Emma Edmonds, Civil War Spy->Mythology/Hist. Fiction: Grade 4|003.003.000*Sing Down the Moon->Mythology/Hist. Fiction: Grade 4"
recm2gFfuHCv4GF4r,General Lit.: Grade 4,011.001.004.005,Literature: Grade 4,011.001.004,1 time/week 20 min * ☐,"G4,",GRADE(S): 4,"Continue fostering independence and a love of reading with irresistible stories such as The Lion, the Witch, and the Wardrobe and historical fiction from the time period.
","Suitable for Grades 5-6 if combining.
",Literature,"001.001.000*The Lion, the Witch and the Wardrobe->General Lit.: Grade 4"
